w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
w,0,w,0,w,0,0,w,w,0,0,w,0,0,0,0,w,w,0,0,w,w,0,0,w,w,0,0,w,w,w,0,w,0,w
w,0,w,0,w,0,0,w,w,0,0,w,0,0,0,0,w,w,0,0,w,w,0,0,w,w,0,0,w,w,0,w,0,w,0
w,w,w,w,w,0,0,w,w,0,0,w,0,0,0,0,w,w,0,0,w,w,0,0,w,w,0,0,w,w,w,0,w,0,w
w,0,0,0,w,0,0,w,w,0,0,w,w,0,0,w,w,w,0,0,w,w,0,0,w,w,0,0,w,w,0,w,0,w,0
w,0,0,0,w,0,0,w,w,0,0,w,0,0,0,0,w,w,0,0,w,w,0,0,w,w,0,0,w,w,0,0,0,0,0
w,0,0,0,w,0,0,w,w,0,0,w,0,0,0,0,w,w,0,0,w,w,0,0,w,w,0,0,w,w,0,0,0,0,0
w,0,0,0,w,0,0,w,w,0,0,w,0,0,0,0,w,w,0,0,w,w,0,0,w,w,0,0,w,w,0,0,0,0,0
w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
w,w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
w,w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
w,0,0,0,0,0,g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
w,0,0,0,w,0,0,w,w,0,0,w,0,0,0,0,w,w,0,0,w,w,0,0,w,w,0,0,w,w,0,0,0,0,0
w,0,0,0,w,0,0,w,w,0,0,w,0,0,0,0,w,w,0,0,w,w,0,0,w,w,0,0,w,w,0,0,0,0,0
w,0,0,0,w,0,0,w,w,0,0,w,0,0,0,0,w,w,0,0,w,w,0,0,w,w,0,0,w,w,0,0,0,0,0
w,0,0,0,w,0,0,w,w,0,0,w,0,0,0,0,w,w,0,0,w,w,0,0,w,w,0,0,w,w,0,0,0,0,0
w,0,0,0,w,0,0,w,w,0,0,w,w,0,0,w,w,w,0,0,w,w,0,0,w,w,0,0,w,w,0,w,0,w,0
w,w,w,w,w,0,0,w,w,0,0,w,0,0,0,0,w,w,0,0,w,w,0,0,w,w,0,0,w,w,w,0,w,0,w
w,0,w,0,w,0,0,w,w,0,0,w,0,0,0,0,w,w,0,0,w,w,0,0,w,w,0,0,w,w,0,w,0,w,0
w,0,w,0,w,0,0,w,w,0,0,w,0,0,0,0,w,w,0,0,w,w,0,0,w,w,0,0,w,w,w,0,w,0,w
w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
